cluster
**Similarity**|**APIV1**|**APIV2**|**comment**
:-----:|:-----:|:-----:|:----:|
0.9968|`sklearn.base/BiclusterMixin`|`sklearn.base/BiclusterMixin`|
0.9903|`sklearn.cluster._birch/_CFNode`|`sklearn.cluster._birch/_CFNode`|
0.9625|`sklearn.cluster._feature_agglomeration/AgglomerationTransform`|`sklearn.cluster._feature_agglomeration/AgglomerationTransform`|
0.9548|`sklearn.cluster._birch/_CFSubcluster`|`sklearn.cluster._birch/_CFSubcluster`|
0.9445|`sklearn.cluster._mean_shift/MeanShift`|`sklearn.cluster._mean_shift/MeanShift`|
0.941|`sklearn.cluster._dbscan/DBSCAN`|`sklearn.cluster._dbscan/DBSCAN`|
0.9077|`sklearn.cluster._bicluster/SpectralBiclustering`|`sklearn.cluster._bicluster/SpectralBiclustering`|
0.9042|`sklearn.cluster._bicluster/SpectralCoclustering`|`sklearn.cluster._bicluster/SpectralCoclustering`|
0.9033|`sklearn.cluster._birch/Birch`|`sklearn.cluster._birch/Birch`|
0.8995|`sklearn.cluster._spectral/SpectralClustering`|`sklearn.cluster._spectral/SpectralClustering`|
0.8893|`sklearn.cluster._affinity_propagation/AffinityPropagation`|`sklearn.cluster._affinity_propagation/AffinityPropagation`|
0.8856|`sklearn.cluster._agglomerative/AgglomerativeClustering`|`sklearn.cluster._agglomerative/AgglomerativeClustering`|
0.8828|`sklearn.cluster._bicluster/BaseSpectral`|`sklearn.cluster._bicluster/BaseSpectral`|
0.8825|`sklearn.cluster._optics/OPTICS`|`sklearn.cluster._optics/OPTICS`|
0.7709|`sklearn.cluster._agglomerative/FeatureAgglomeration`|`sklearn.cluster._agglomerative/FeatureAgglomeration`|
0.6707|`sklearn.cluster._kmeans/MiniBatchKMeans`|`sklearn.cluster._kmeans/MiniBatchKMeans`|
0.6429|`sklearn.cluster._kmeans/KMeans`|`sklearn.cluster._kmeans/KMeans`|
1.0|`sklearn.base/BiclusterMixin/biclusters_@getter`|`sklearn.base/BiclusterMixin/biclusters_@getter`|
1.0|`sklearn.base/BiclusterMixin/get_shape`|`sklearn.base/BiclusterMixin/get_shape`|
